pdist	gdist	derEHH	ancEHH	EHH
-1977341	-1.492507	0.000589	0.000926	0.000359
-1977211	-1.492466	0.000589	0.000926	0.000359
-1977117	-1.492458	0.000589	0.000926	0.000359
-1976535	-1.492408	0.000589	0.000926	0.000359
-1976490	-1.492405	0.000589	0.000926	0.000359
-1976240	-1.492394	0.000589	0.000926	0.000359
-1976082	-1.492389	0.000589	0.000926	0.000359
-1976048	-1.492389	0.000589	0.000926	0.000359
-1975726	-1.492382	0.000589	0.000926	0.000359
-1975199	-1.492371	0.000589	0.000926	0.000359
-1975127	-1.492370	0.000589	0.000926	0.000359
-1974987	-1.492367	0.000589	0.000926	0.000359
-1974896	-1.492365	0.000589	0.000926	0.000359
-1974453	-1.492356	0.000589	0.000926	0.000359
-1973887	-1.492345	0.000589	0.000926	0.000359
-1973453	-1.492337	0.000589	0.000926	0.000359
-1972630	-1.492316	0.000589	0.000926	0.000359
-1972507	-1.492310	0.000589	0.000926	0.000359
-1972486	-1.492306	0.000589	0.000926	0.000359
-1971535	-1.491967	0.000589	0.000926	0.000359
-1971426	-1.491926	0.000589	0.000926	0.000359
-1971353	-1.491899	0.000589	0.000926	0.000359
-1971194	-1.491839	0.000589	0.000926	0.000359
-1970536	-1.491592	0.000589	0.000926	0.000359
-1970359	-1.491526	0.000589	0.000926	0.000359
-1970148	-1.491447	0.000589	0.000926	0.000359
-1970085	-1.491422	0.000589	0.000926	0.000359
-1969342	-1.491122	0.000589	0.000926	0.000359
-1969131	-1.490995	0.000589	0.000926	0.000359
-1969008	-1.490879	0.000589	0.000926	0.000359
-1968867	-1.490745	0.000589	0.000926	0.000359
-1968831	-1.490711	0.000589	0.000926	0.000359
-1968286	-1.490196	0.000589	0.000926	0.000359
-1967696	-1.489636	0.000589	0.000926	0.000359
-1967510	-1.489472	0.000589	0.000926	0.000359
-1967139	-1.489158	0.000589	0.000926	0.000359
-1966985	-1.489027	0.000589	0.000926	0.000359
-1966946	-1.488979	0.000589	0.000926	0.000359
-1966908	-1.488932	0.000589	0.000926	0.000359
-1966879	-1.488865	0.000589	0.000926	0.000359
-1966708	-1.488471	0.000589	0.000926	0.000359
-1966695	-1.488441	0.000589	0.000926	0.000359
-1966565	-1.486399	0.000589	0.000926	0.000359
-1966237	-1.481249	0.000589	0.000926	0.000359
-1965982	-1.477244	0.000589	0.000926	0.000359
-1965779	-1.474026	0.000884	0.000926	0.000461
-1965448	-1.468778	0.000884	0.000926	0.000461
-1964551	-1.454557	0.000884	0.000926	0.000461
-1964428	-1.452608	0.000884	0.000926	0.000461
-1964338	-1.451182	0.000884	0.000926	0.000461
-1964298	-1.450548	0.000884	0.000926	0.000461
-1963853	-1.443498	0.000884	0.000926	0.000461
-1963427	-1.436748	0.000884	0.000926	0.000461
-1963414	-1.436542	0.000884	0.000926	0.000461
-1963162	-1.433617	0.000884	0.000926	0.000461
-1963109	-1.433344	0.000884	0.000926	0.000461
-1963047	-1.433024	0.000884	0.000926	0.000461
-1962784	-1.431669	0.000884	0.000926	0.000461
-1961828	-1.426744	0.000884	0.000926	0.000461
-1961454	-1.426602	0.000884	0.000926	0.000461
-1959894	-1.426007	0.000884	0.000926	0.000461
-1959652	-1.425915	0.000884	0.000926	0.000461
-1958527	-1.425506	0.000884	0.000926	0.000461
-1958511	-1.425500	0.000884	0.000926	0.000461
-1958354	-1.425429	0.000884	0.000926	0.000461
-1957889	-1.425231	0.000884	0.000926	0.000461
-1957421	-1.425032	0.000884	0.000926	0.000461
-1956784	-1.424836	0.000884	0.000926	0.000461
-1956682	-1.424810	0.000884	0.000926	0.000461
-1954456	-1.424235	0.000884	0.000926	0.000461
-1953956	-1.424105	0.000884	0.000926	0.000461
-1953767	-1.424056	0.000884	0.000926	0.000461
-1953647	-1.424025	0.000884	0.000926	0.000461
-1953500	-1.423987	0.000884	0.000926	0.000461
-1953442	-1.423972	0.000884	0.000926	0.000461
-1953026	-1.423865	0.000884	0.000926	0.000461
-1951494	-1.423468	0.000884	0.000926	0.000461
-1950907	-1.423315	0.000884	0.000926	0.000461
-1950472	-1.423202	0.000884	0.000926	0.000461
-1949162	-1.422854	0.000884	0.000926	0.000461
-1947019	-1.422069	0.000884	0.000926	0.000461
-1945858	-1.421723	0.000884	0.000926	0.000461
-1944667	-1.421491	0.000884	0.000926	0.000461
-1944484	-1.421455	0.000884	0.000926	0.000461
-1944153	-1.421410	0.000884	0.000926	0.000461
-1943950	-1.421383	0.000884	0.000926	0.000461
-1942022	-1.421240	0.000884	0.000926	0.000461
-1941847	-1.421228	0.000884	0.000926	0.000461
-1934471	-1.420717	0.000884	0.000926	0.000461
-1933432	-1.420645	0.000884	0.000926	0.000461
-1933239	-1.420632	0.000884	0.000926	0.000461
-1933124	-1.420624	0.000884	0.000926	0.000461
-1932176	-1.420609	0.000884	0.000926	0.000461
-1931665	-1.420579	0.000884	0.000926	0.000461
-1931573	-1.420573	0.000884	0.000926	0.000461
-1929844	-1.420050	0.000884	0.000926	0.000461
-1929740	-1.420025	0.000884	0.000926	0.000461
-1928212	-1.419818	0.000884	0.000926	0.000461
-1927674	-1.419790	0.000884	0.000926	0.000461
-1927296	-1.419774	0.000884	0.000926	0.000461
-1927229	-1.419771	0.000884	0.000926	0.000461
-1926874	-1.419754	0.000884	0.000926	0.000461
-1926709	-1.419742	0.000884	0.000926	0.000461
-1926473	-1.419715	0.000884	0.000926	0.000461
-1925256	-1.419573	0.000884	0.000926	0.000461
-1924345	-1.419384	0.000884	0.000926	0.000461
-1923496	-1.419196	0.000884	0.000926	0.000461
-1922710	-1.419022	0.000884	0.000926	0.000461
-1922407	-1.418996	0.000884	0.000926	0.000461
-1921963	-1.418978	0.000884	0.000926	0.000461
-1921432	-1.418958	0.000884	0.000926	0.000461
-1920932	-1.418940	0.000884	0.000926	0.000461
-1919978	-1.418908	0.000884	0.000926	0.000461
-1919924	-1.418906	0.000884	0.000926	0.000461
-1919415	-1.418889	0.000884	0.000926	0.000461
-1918711	-1.418866	0.000884	0.000926	0.000461
-1918433	-1.418857	0.000884	0.000926	0.000461
-1918352	-1.418855	0.000884	0.000926	0.000461
-1917197	-1.418819	0.000884	0.000926	0.000461
-1916177	-1.418786	0.000884	0.000926	0.000461
-1914890	-1.418344	0.000884	0.000926	0.000461
-1914740	-1.418316	0.000884	0.000926	0.000461
-1913574	-1.418222	0.000884	0.000926	0.000461
-1912251	-1.417148	0.000884	0.000926	0.000461
-1911833	-1.417031	0.000884	0.000926	0.000461
-1911774	-1.417014	0.000884	0.000926	0.000461
-1911705	-1.416995	0.000884	0.000926	0.000461
-1910561	-1.416675	0.000884	0.000926	0.000461
-1910427	-1.416648	0.000884	0.000926	0.000461
-1910308	-1.416634	0.000884	0.000926	0.000461
-1910085	-1.416628	0.000884	0.000926	0.000461
-1909349	-1.416610	0.000884	0.000926	0.000461
-1908758	-1.416596	0.000884	0.000926	0.000461
-1907461	-1.416566	0.000884	0.000926	0.000461
-1906883	-1.416552	0.001032	0.000926	0.000513
-1906569	-1.416545	0.001032	0.000926	0.000513
-1906243	-1.416509	0.001032	0.000926	0.000513
-1905708	-1.416045	0.001032	0.000926	0.000513
-1905438	-1.415810	0.001032	0.000926	0.000513
-1905295	-1.415686	0.001032	0.000926	0.000513
-1904620	-1.415314	0.001032	0.000926	0.000513
-1904312	-1.415144	0.001032	0.000926	0.000513
-1903147	-1.414728	0.001032	0.000926	0.000513
-1902882	-1.414626	0.001032	0.000926	0.000513
-1902871	-1.414619	0.001032	0.000926	0.000513
-1902724	-1.414479	0.001032	0.000926	0.000513
-1902508	-1.414230	0.001032	0.000926	0.000513
-1902309	-1.414001	0.001032	0.000926	0.000513
-1902072	-1.413729	0.001032	0.000926	0.000513
-1901539	-1.412871	0.001032	0.000926	0.000513
-1900151	-1.409982	0.001032	0.000926	0.000513
-1899931	-1.409646	0.001032	0.000926	0.000513
-1898828	-1.409146	0.001032	0.000926	0.000513
-1898481	-1.408989	0.001032	0.000926	0.000513
-1898280	-1.408899	0.001032	0.000926	0.000513
-1898053	-1.408793	0.001032	0.000926	0.000513
-1897715	-1.408632	0.001032	0.000926	0.000513
-1895702	-1.407779	0.001032	0.000926	0.000513
-1895628	-1.407744	0.001032	0.000926	0.000513
-1895617	-1.407739	0.001032	0.000926	0.000513
-1895433	-1.407632	0.001032	0.000926	0.000513
-1894912	-1.407232	0.001032	0.000926	0.000513
-1894588	-1.407067	0.001032	0.000926	0.000513
-1893082	-1.406373	0.001032	0.000926	0.000513
-1893082	-1.406373	0.001032	0.000926	0.000513
-1893079	-1.406372	0.001621	0.000926	0.000718
-1893071	-1.406369	0.001621	0.000926	0.000718
-1893069	-1.406368	0.001621	0.000926	0.000718
-1892913	-1.406303	0.001621	0.000926	0.000718
-1892487	-1.406124	0.001621	0.000926	0.000718
-1892176	-1.405983	0.001621	0.000926	0.000718
-1891856	-1.405577	0.001621	0.000926	0.000718
-1891733	-1.405420	0.001621	0.000926	0.000718
-1891695	-1.405390	0.001621	0.000926	0.000718
-1891527	-1.405309	0.001621	0.000926	0.000718
-1891445	-1.405267	0.001621	0.000926	0.000718
-1891182	-1.405116	0.001621	0.000926	0.000718
-1890748	-1.404876	0.001621	0.000926	0.000718
-1890494	-1.404735	0.001621	0.000926	0.000718
-1890193	-1.404569	0.001621	0.000926	0.000718
-1888927	-1.404100	0.001621	0.000926	0.000718
-1888714	-1.404023	0.001621	0.000926	0.000718
-1888367	-1.403898	0.001621	0.000926	0.000718
-1888194	-1.403836	0.001621	0.000926	0.000718
-1887359	-1.403538	0.001621	0.000926	0.000718
-1887351	-1.403535	0.001621	0.000926	0.000718
-1886934	-1.403386	0.001621	0.000926	0.000718
-1886759	-1.403321	0.001621	0.000926	0.000718
-1886537	-1.403238	0.001621	0.000926	0.000718
-1886015	-1.403036	0.001621	0.000926	0.000718
-1885716	-1.402739	0.001621	0.000926	0.000718
-1885656	-1.402678	0.001621	0.000926	0.000718
-1885544	-1.402571	0.001621	0.000926	0.000718
-1885391	-1.402427	0.001621	0.000926	0.000718
-1884079	-1.401264	0.001621	0.000926	0.000718
-1883293	-1.400707	0.001621	0.000926	0.000718
-1883082	-1.400558	0.002210	0.000926	0.000923
-1882892	-1.400178	0.002210	0.000926	0.000923
-1881789	-1.397484	0.002358	0.000926	0.000974
-1881207	-1.352361	0.002358	0.000926	0.000974
-1881206	-1.352284	0.002358	0.000926	0.000974
-1880980	-1.334762	0.002358	0.000926	0.000974
-1880789	-1.319953	0.003095	0.000926	0.001231
-1880088	-1.272797	0.003095	0.001852	0.001384
-1880087	-1.272737	0.003095	0.001852	0.001384
-1879981	-1.266342	0.003095	0.001852	0.001384
-1879599	-1.243299	0.003095	0.001852	0.001384
-1879436	-1.243113	0.003095	0.001852	0.001384
-1879282	-1.242935	0.003095	0.001852	0.001384
-1878947	-1.242549	0.003095	0.001852	0.001384
-1878353	-1.241868	0.003095	0.001852	0.001384
-1878072	-1.241563	0.003095	0.001852	0.001384
-1877736	-1.241198	0.003095	0.001852	0.001384
-1877588	-1.241037	0.003095	0.001852	0.001384
-1877522	-1.240985	0.003095	0.001852	0.001384
-1877408	-1.240914	0.003095	0.001852	0.001384
-1877389	-1.240904	0.003095	0.001852	0.001384
-1877385	-1.240902	0.003095	0.001852	0.001384
-1876951	-1.240700	0.003095	0.001852	0.001384
-1876588	-1.240556	0.003095	0.001852	0.001384
-1875799	-1.240242	0.003095	0.001852	0.001384
-1875571	-1.240152	0.003095	0.001852	0.001384
-1875204	-1.240006	0.003095	0.001852	0.001384
-1875195	-1.240002	0.003095	0.001852	0.001384
-1874730	-1.239817	0.003095	0.001852	0.001384
-1874157	-1.239589	0.003095	0.001852	0.001384
-1874121	-1.239574	0.003095	0.001852	0.001384
-1873514	-1.239324	0.003095	0.001852	0.001384
-1872449	-1.238885	0.003095	0.001852	0.001384
-1872307	-1.238827	0.003095	0.001852	0.001384
-1871803	-1.238625	0.003095	0.001852	0.001384
-1871346	-1.238448	0.003095	0.001852	0.001384
-1870979	-1.238317	0.003095	0.001852	0.001384
-1870695	-1.238223	0.003095	0.001852	0.001384
-1870683	-1.238219	0.003095	0.001852	0.001384
-1870534	-1.238169	0.003095	0.001852	0.001384
-1870236	-1.238070	0.003095	0.001852	0.001384
-1870035	-1.238005	0.003095	0.001852	0.001384
-1868470	-1.237510	0.003095	0.001852	0.001384
-1867012	-1.237050	0.003095	0.001852	0.001384
-1866986	-1.237043	0.003095	0.001852	0.001384
-1866863	-1.237012	0.003095	0.001852	0.001384
-1864094	-1.236314	0.003095	0.001852	0.001384
-1862945	-1.236079	0.003095	0.001852	0.001384
-1862700	-1.236033	0.003095	0.001852	0.001384
-1862699	-1.236032	0.003095	0.001852	0.001384
-1862500	-1.235995	0.003095	0.001852	0.001384
-1862443	-1.235984	0.003095	0.001852	0.001384
-1860716	-1.235656	0.003095	0.001852	0.001384
-1858103	-1.235167	0.003095	0.001852	0.001384
-1857347	-1.235027	0.003095	0.001852	0.001384
-1857296	-1.235020	0.003095	0.001852	0.001384
-1856856	-1.234991	0.003095	0.001852	0.001384
-1856712	-1.234981	0.003095	0.001852	0.001384
-1855591	-1.234906	0.003095	0.001852	0.001384
-1853807	-1.234801	0.003095	0.001852	0.001384
-1852605	-1.234730	0.003095	0.001852	0.001384
-1843892	-1.229848	0.003095	0.001852	0.001384
-1843781	-1.229752	0.003095	0.001852	0.001384
-1843291	-1.229324	0.003095	0.001852	0.001384
-1843243	-1.229282	0.003095	0.001852	0.001384
-1842778	-1.228873	0.003979	0.001852	0.001692
-1841814	-1.228009	0.003979	0.001852	0.001692
-1841350	-1.227596	0.003979	0.001852	0.001692
-1841315	-1.227566	0.003979	0.001852	0.001692
-1840940	-1.227242	0.003979	0.001852	0.001692
-1840585	-1.226987	0.003979	0.001852	0.001692
-1840013	-1.226576	0.003979	0.001852	0.001692
-1839930	-1.226536	0.003979	0.001852	0.001692
-1839739	-1.226491	0.003979	0.001852	0.001692
-1839273	-1.226380	0.003979	0.001852	0.001692
-1839230	-1.226369	0.003979	0.001852	0.001692
-1838888	-1.226288	0.003979	0.001852	0.001692
-1838848	-1.226278	0.003979	0.001852	0.001692
-1838313	-1.226151	0.003979	0.001852	0.001692
-1838196	-1.226123	0.003979	0.001852	0.001692
-1838148	-1.226112	0.003979	0.001852	0.001692
-1838136	-1.226109	0.003979	0.001852	0.001692
-1836611	-1.225746	0.003979	0.001852	0.001692
-1836460	-1.225710	0.003979	0.001852	0.001692
-1836359	-1.225686	0.003979	0.001852	0.001692
-1836283	-1.225668	0.004126	0.001852	0.001743
-1835810	-1.225555	0.004126	0.001852	0.001743
-1835677	-1.225523	0.004126	0.001852	0.001743
-1835568	-1.225498	0.004126	0.001852	0.001743
-1834827	-1.225322	0.004126	0.001852	0.001743
-1834748	-1.225303	0.004126	0.001852	0.001743
-1833991	-1.225123	0.004126	0.001852	0.001743
-1833464	-1.224997	0.004126	0.001852	0.001743
-1833303	-1.224959	0.004126	0.001852	0.001743
-1833118	-1.224915	0.004126	0.001852	0.001743
-1832729	-1.224822	0.004126	0.001852	0.001743
-1832692	-1.224813	0.004126	0.001852	0.001743
-1832614	-1.224794	0.004126	0.001852	0.001743
-1832591	-1.224789	0.004126	0.001852	0.001743
-1832385	-1.224740	0.004126	0.001852	0.001743
-1831102	-1.224432	0.004126	0.001852	0.001743
-1830612	-1.224315	0.004126	0.001852	0.001743
-1830517	-1.224293	0.004126	0.001852	0.001743
-1830244	-1.224228	0.004126	0.001852	0.001743
-1829841	-1.224133	0.004126	0.001852	0.001743
-1829348	-1.224016	0.004126	0.001852	0.001743
-1828726	-1.223869	0.004126	0.001852	0.001743
-1828454	-1.223805	0.004126	0.001852	0.001743
-1828396	-1.223791	0.004126	0.001852	0.001743
-1826867	-1.223430	0.004126	0.001852	0.001743
-1825502	-1.223106	0.004126	0.001852	0.001743
-1825252	-1.223047	0.004126	0.001852	0.001743
-1824866	-1.222955	0.004126	0.001852	0.001743
-1824730	-1.222923	0.004126	0.001852	0.001743
-1824302	-1.222821	0.004126	0.001852	0.001743
-1823292	-1.222566	0.004126	0.001852	0.001743
-1823140	-1.222510	0.004126	0.001852	0.001743
-1823133	-1.222508	0.004126	0.001852	0.001743
-1823056	-1.222479	0.004126	0.001852	0.001743
-1822158	-1.222051	0.004126	0.001852	0.001743
-1821874	-1.221908	0.004126	0.001852	0.001743
-1821516	-1.221684	0.004126	0.001852	0.001743
-1820970	-1.221245	0.004126	0.001852	0.001743
-1820538	-1.220754	0.004126	0.001852	0.001743
-1820207	-1.220416	0.004126	0.001852	0.001743
-1819938	-1.220159	0.004126	0.001852	0.001743
-1819723	-1.220001	0.004126	0.001852	0.001743
-1818461	-1.219014	0.004126	0.001852	0.001743
-1818371	-1.218934	0.004126	0.001852	0.001743
-1817624	-1.218142	0.004126	0.001852	0.001743
-1817473	-1.217954	0.004126	0.001852	0.001743
-1816924	-1.217094	0.004126	0.001852	0.001743
-1816817	-1.216893	0.004126	0.001852	0.001743
-1816752	-1.216764	0.004126	0.001852	0.001743
-1816631	-1.216507	0.004126	0.001852	0.001743
-1816428	-1.216075	0.004126	0.001852	0.001743
-1816116	-1.215210	0.004126	0.001852	0.001743
-1816042	-1.215030	0.004126	0.001852	0.001743
-1815776	-1.214405	0.004126	0.001852	0.001743
-1815373	-1.214223	0.004126	0.001852	0.001743
-1815266	-1.214175	0.004126	0.001852	0.001743
-1815216	-1.214152	0.004126	0.001852	0.001743
-1815076	-1.214089	0.004126	0.001852	0.001743
-1815075	-1.214089	0.004126	0.001852	0.001743
-1815025	-1.214066	0.004126	0.001852	0.001743
-1814858	-1.213991	0.004126	0.001852	0.001743
-1814749	-1.213942	0.004126	0.001852	0.001743
-1814391	-1.213780	0.004126	0.001852	0.001743
-1814272	-1.213749	0.004126	0.001852	0.001743
-1814224	-1.213736	0.004126	0.001852	0.001743
-1814159	-1.213719	0.004126	0.001852	0.001743
-1814021	-1.213683	0.004126	0.001852	0.001743
-1813948	-1.213664	0.004126	0.001852	0.001743
-1813726	-1.213606	0.004126	0.001852	0.001743
-1813653	-1.213586	0.004126	0.001852	0.001743
-1813634	-1.213581	0.004126	0.001852	0.001743
-1813372	-1.213513	0.004126	0.001852	0.001743
-1813262	-1.213484	0.004126	0.001852	0.001743
-1812900	-1.213389	0.004126	0.001852	0.001743
-1812567	-1.213308	0.004126	0.001852	0.001743
-1811435	-1.213039	0.004126	0.001852	0.001743
-1811218	-1.212988	0.004126	0.001852	0.001743
-1810687	-1.212862	0.004126	0.001852	0.001743
-1810685	-1.212862	0.004126	0.001852	0.001743
-1809206	-1.212512	0.004126	0.001852	0.001743
-1808902	-1.212440	0.004126	0.001852	0.001743
-1808719	-1.212397	0.004126	0.001852	0.001743
-1808587	-1.212366	0.004126	0.001852	0.001743
-1807894	-1.212202	0.004126	0.001852	0.001743
-1807861	-1.212194	0.004126	0.001852	0.001743
-1807418	-1.212089	0.004126	0.001852	0.001743
-1807311	-1.212063	0.004126	0.001852	0.001743
-1807115	-1.212017	0.004126	0.001852	0.001743
-1806476	-1.211865	0.004126	0.001852	0.001743
-1806408	-1.211849	0.004126	0.001852	0.001743
-1805886	-1.211725	0.004126	0.001852	0.001743
-1805513	-1.211637	0.004126	0.001852	0.001743
-1804899	-1.211491	0.004126	0.001852	0.001743
-1804709	-1.211446	0.004126	0.001852	0.001743
-1803331	-1.211119	0.004126	0.001852	0.001743
-1802790	-1.210991	0.004126	0.001852	0.001743
-1802742	-1.210980	0.004126	0.001852	0.001743
-1802700	-1.210970	0.004126	0.001852	0.001743
-1802621	-1.210951	0.004126	0.001852	0.001743
-1801824	-1.210762	0.004126	0.001852	0.001743
-1801245	-1.210575	0.004126	0.001852	0.001743
-1801244	-1.210575	0.004126	0.001852	0.001743
-1801014	-1.210501	0.004126	0.001852	0.001743
-1800932	-1.210474	0.004126	0.001852	0.001743
-1799893	-1.210139	0.004126	0.001852	0.001743
-1799852	-1.210126	0.004126	0.001852	0.001743
-1798792	-1.209720	0.004126	0.001852	0.001743
-1798398	-1.209547	0.004126	0.001852	0.001743
-1798304	-1.209506	0.004126	0.001852	0.001743
-1798131	-1.209368	0.004126	0.001852	0.001743
-1797744	-1.209058	0.004126	0.001852	0.001743
-1797631	-1.208967	0.004126	0.001852	0.001743
-1797574	-1.208921	0.004126	0.001852	0.001743
-1797290	-1.208752	0.004126	0.001852	0.001743
-1796669	-1.208384	0.004126	0.001852	0.001743
-1796275	-1.208150	0.004126	0.001852	0.001743
-1795984	-1.207977	0.004126	0.001852	0.001743
-1794861	-1.207313	0.004126	0.001852	0.001743
-1791723	-1.201110	0.004126	0.001852	0.001743
-1790745	-1.200952	0.004126	0.001852	0.001743
-1790690	-1.200945	0.004126	0.001852	0.001743
-1790359	-1.200903	0.004126	0.001852	0.001743
-1789512	-1.200795	0.004126	0.001852	0.001743
-1789459	-1.200788	0.004126	0.001852	0.001743
-1789264	-1.200764	0.004126	0.001852	0.001743
-1789015	-1.200732	0.004126	0.001852	0.001743
-1788522	-1.200670	0.004126	0.001852	0.001743
-1788262	-1.200637	0.004126	0.001852	0.001743
-1788237	-1.200633	0.004126	0.001852	0.001743
-1786020	-1.200352	0.004126	0.001852	0.001743
-1785739	-1.200316	0.004126	0.001852	0.001743
-1785713	-1.200313	0.004126	0.001852	0.001743
-1785699	-1.200311	0.004126	0.001852	0.001743
-1785606	-1.200299	0.004126	0.001852	0.001743
-1785594	-1.200298	0.004126	0.001852	0.001743
-1785222	-1.200251	0.004126	0.001852	0.001743
-1785172	-1.200244	0.004126	0.001852	0.001743
-1785079	-1.200233	0.004126	0.001852	0.001743
-1783159	-1.199989	0.004126	0.001852	0.001743
-1782972	-1.199965	0.004126	0.001852	0.001743
-1782640	-1.199922	0.004126	0.001852	0.001743
-1782341	-1.199882	0.004126	0.001852	0.001743
-1781833	-1.199815	0.004126	0.001852	0.001743
-1781340	-1.199750	0.004126	0.001852	0.001743
-1778284	-1.195318	0.004126	0.001852	0.001743
-1777952	-1.194673	0.004126	0.001852	0.001743
-1777927	-1.194603	0.004126	0.001852	0.001743
-1777886	-1.194433	0.004126	0.001852	0.001743
-1777529	-1.192954	0.004126	0.001852	0.001743
-1777528	-1.192950	0.004126	0.001852	0.001743
-1776524	-1.188577	0.004126	0.001852	0.001743
-1776489	-1.188424	0.004126	0.001852	0.001743
-1776345	-1.187785	0.004126	0.001852	0.001743
-1776049	-1.186432	0.004126	0.001852	0.001743
-1774776	-1.180426	0.004126	0.001852	0.001743
-1769108	-1.155268	0.004126	0.001852	0.001743
-1768723	-1.154270	0.004126	0.001852	0.001743
-1767680	-1.151577	0.004126	0.001852	0.001743
-1767645	-1.151529	0.004126	0.001852	0.001743
-1767095	-1.151152	0.004126	0.001852	0.001743
-1766340	-1.150635	0.004126	0.001852	0.001743
-1766207	-1.150549	0.004126	0.001852	0.001743
-1765353	-1.149993	0.004126	0.001852	0.001743
-1764519	-1.149451	0.004126	0.001852	0.001743
-1764407	-1.149387	0.004126	0.001852	0.001743
-1764240	-1.149301	0.004126	0.001852	0.001743
-1763891	-1.149126	0.004126	0.001852	0.001743
-1763562	-1.148955	0.004126	0.001852	0.001743
-1762721	-1.148476	0.004126	0.001852	0.001743
-1761894	-1.148007	0.004126	0.001852	0.001743
-1761859	-1.147987	0.004126	0.001852	0.001743
-1761723	-1.147922	0.004126	0.001852	0.001743
-1761659	-1.147891	0.004126	0.001852	0.001743
-1761193	-1.147671	0.004126	0.001852	0.001743
-1761129	-1.147642	0.004126	0.001852	0.001743
-1759883	-1.147105	0.004126	0.001852	0.001743
-1759655	-1.147007	0.004126	0.001852	0.001743
-1759517	-1.146948	0.004126	0.001852	0.001743
-1758483	-1.146506	0.004126	0.001852	0.001743
-1757602	-1.146130	0.004126	0.001852	0.001743
-1757370	-1.146031	0.004126	0.001852	0.001743
-1756772	-1.145767	0.004126	0.001852	0.001743
-1756502	-1.145637	0.004126	0.001852	0.001743
-1755575	-1.145193	0.004126	0.001852	0.001743
-1755131	-1.144980	0.004126	0.001852	0.001743
-1754917	-1.144875	0.004126	0.001852	0.001743
-1754624	-1.144730	0.004126	0.001852	0.001743
-1754313	-1.144576	0.004126	0.001852	0.001743
-1754312	-1.144575	0.004126	0.001852	0.001743
-1753988	-1.144414	0.004126	0.001852	0.001743
-1753636	-1.144237	0.004126	0.001852	0.001743
-1753295	-1.144064	0.004126	0.001852	0.001743
-1752982	-1.143906	0.004126	0.001852	0.001743
-1752496	-1.143657	0.004126	0.001852	0.001743
-1752233	-1.143519	0.004126	0.001852	0.001743
-1751910	-1.143346	0.004126	0.001852	0.001743
-1750209	-1.142435	0.004421	0.001852	0.001846
-1749891	-1.142265	0.004421	0.001852	0.001846
-1749630	-1.142125	0.004421	0.001852	0.001846
-1749444	-1.142026	0.004421	0.001852	0.001846
-1748325	-1.141427	0.004421	0.001852	0.001846
-1747327	-1.140892	0.004421	0.001852	0.001846
-1747248	-1.140850	0.004421	0.001852	0.001846
-1744727	-1.138366	0.004421	0.001852	0.001846
-1744303	-1.137935	0.004421	0.001852	0.001846
-1744129	-1.137759	0.004421	0.001852	0.001846
-1743926	-1.137554	0.004421	0.001852	0.001846
-1743776	-1.137402	0.004421	0.001852	0.001846
-1743601	-1.137225	0.004421	0.001852	0.001846
-1743490	-1.137142	0.004421	0.001852	0.001846
-1743451	-1.137125	0.004421	0.001852	0.001846
